Название,Описание
Сквер музея первого Президента,Идеально создан для тихого отдыха
Центральный парк,Один из лучших вариантов для семейного выходного
Ботанический сад,Самое красивое и романтичное место
Парк Жеруйык,Место с огромным количеством деревьев
Триатлон парк,Все условия для занятия спортом
Парк Жетысу,Подходит для прогулок и пробежек на свежем воздухе
Парк Афганской войне,В память о павших в Афганской войне солдатах
Президентский парк,Большой парк со всем необходимым для прогулок
Парк Влюбленных,Романтичное место с романтичным названием
Студенческий парк,Милый и уютный парк
Шахматный парк,Все для увлекательной игры в шахматы
Корейский сад,Символ дружбы между народами Казахстана и Кореи
Экспо-парк,Необычные декорации и открывающийся вид на город радуют глаз
Сквер спасателей, Посвящен пожарным-спасателям и сотрудникам
Сиреневый сад,Альтернатива японским садам с сакурами
Парк Ататюрк,Отличается тихой и умиротворяющей атмосферой
Сквер Учителей,Сквер в честь учителей
Парк Коктал,Три зоны: активный отдых; тихий отдых; детский отдых

